Metric,Value
Total Intersections,159
Images per Intersection (directions),4
Total Images to Download,636
Image Size (pixels),640x640
Image FOV (degrees),90
Estimated Min Storage (GB),0.09
Estimated Max Storage (GB),0.18
Estimated Download Time (hours),0.04
Estimated Download Time (minutes),2
Time per Request (seconds),0.2
