point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000191,39.95758984386193,-75.19182359295628,90,270,47
pt_000192,39.957837905950235,-75.20098298740426,180,0,48
pt_000193,39.95778144173635,-75.20091373303325,270,90,48
pt_000194,39.95772814689338,-75.20098710556607,0,180,48
pt_000195,39.95778461106308,-75.20105635994373,90,270,48
pt_000196,39.956924698706096,-75.19962287394301,180,0,49
pt_000197,39.956868233672715,-75.19955362163381,270,90,49
pt_000198,39.95681493969832,-75.19962699424734,0,180,49
pt_000199,39.956871404687504,-75.19969624656322,90,270,49
pt_000200,39.95761813464217,-75.19947746886183,180,0,50
pt_000201,39.95756166952123,-75.19940821596647,270,90,50
pt_000202,39.957508375641744,-75.19948158944318,0,180,50
pt_000203,39.957564840718476,-75.19955084234519,90,270,50
pt_000204,39.95669082756811,-75.19158541137556,180,0,51
pt_000205,39.956634357692664,-75.1915161659867,270,90,51
pt_000206,39.95658106886466,-75.19158954465374,0,180,51
pt_000207,39.9566375386959,-75.19165879004926,90,270,51
pt_000208,39.956989217791126,-75.193992265,180,0,52
pt_000209,39.95693274936562,-75.19392301730593,270,90,52
pt_000210,39.95687945899707,-75.19399639440701,0,180,52
pt_000211,39.95693592737836,-75.19406564210772,90,270,52
pt_000212,39.956718632283234,-75.19800814892967,180,0,53
pt_000213,39.95666216627702,-75.19793889817292,270,90,53
pt_000214,39.95660887333609,-75.19801227183079,0,180,53
pt_000215,39.956665339298105,-75.19808152259422,90,270,53
pt_000216,39.957460360538256,-75.19775715985865,180,0,54
pt_000217,39.95740389438091,-75.1976879085543,270,90,54
pt_000218,39.95735060160263,-75.19776128321037,0,180,54
pt_000219,39.957407067715764,-75.19783053452139,90,270,54
pt_000220,39.956493162888286,-75.19612104703977,180,0,55
pt_000221,39.95643669574518,-75.19605179808167,270,90,55
pt_000222,39.956383404012094,-75.19612517297664,0,180,55
pt_000223,39.95643987111101,-75.19619442194139,90,270,55
pt_000224,39.95644049757281,-75.20211537458337,180,0,56
pt_000225,39.95638403404103,-75.20204612069583,270,90,56
pt_000226,39.95633073846932,-75.2021194908306,0,180,56
pt_000227,39.956387201956915,-75.2021887447248,90,270,56
pt_000228,39.95624394585071,-75.19415346217214,180,0,57
pt_000229,39.95618747752225,-75.1940842151039,270,90,57
pt_000230,39.956134187048534,-75.19415759127335,0,180,57
pt_000231,39.956190655332776,-75.19422683834827,90,270,57
pt_000232,39.95615207762268,-75.19978614770807,180,0,58
pt_000233,39.95609561268759,-75.19971689605086,270,90,58
pt_000234,39.95604231860665,-75.19979026770167,0,180,58
pt_000235,39.95609878349753,-75.19985951936556,90,270,58
pt_000236,39.955907037357996,-75.19146487116643,180,0,59
pt_000237,39.9558505674099,-75.19139562667684,270,90,59
pt_000238,39.95579727865702,-75.19146900459171,0,180,59
pt_000239,39.95585374856095,-75.19153824908797,90,270,59
pt_000240,39.95594811329131,-75.19815262560695,180,0,60
pt_000241,39.95589164737208,-75.19808337551567,270,90,60
pt_000242,39.95583835433665,-75.19815674822785,0,180,60
pt_000243,39.955894820211675,-75.19822599832581,90,270,60
pt_000244,39.95571848895341,-75.19629407714665,180,0,61
pt_000245,39.95566202191449,-75.19622482883452,270,90,61
pt_000246,39.9556087300686,-75.19629820275688,0,180,61
pt_000247,39.95566519706334,-75.19636745107567,90,270,61
pt_000248,39.95569431910465,-75.20227382565888,180,0,62
pt_000249,39.955637855668286,-75.2022045724004,270,90,62
pt_000250,39.9555845599932,-75.20227794160485,0,180,62
pt_000251,39.95564102338537,-75.20234719486996,90,270,62
pt_000252,39.95547029011747,-75.19430854774524,180,0,63
pt_000253,39.95541382188237,-75.1942393013368,270,90,63
pt_000254,39.95536053130736,-75.19431267654882,0,180,63
pt_000255,39.95541699949822,-75.19438192296394,90,270,63
pt_000256,39.95540570047322,-75.19994097258747,180,0,64
pt_000257,39.95534923563135,-75.19987172156253,270,90,64
pt_000258,39.95529594144935,-75.19994509228563,0,180,64
pt_000259,39.95535240624702,-75.20001434331722,90,270,64
pt_000260,39.955146505792456,-75.19162338301533,180,0,65
pt_000261,39.95509003593978,-75.19155413916928,270,90,65
pt_000262,39.955036747083476,-75.19162751613818,0,180,65
pt_000263,39.95509321689196,-75.19169675999092,90,270,65
pt_000264,39.95520694587205,-75.1983115059031,180,0,66
pt_000265,39.955150480048474,-75.19824225643536,270,90,66
pt_000266,39.955097186909406,-75.19831562822226,0,180,66
pt_000267,39.95515365268877,-75.19838487769665,90,270,66
pt_000268,39.954971203243836,-75.1964457576077,180,0,67
pt_000269,39.95491473629627,-75.19637650993134,270,90,67
pt_000270,39.95486144435133,-75.19644988292745,0,180,67
pt_000271,39.95491791125472,-75.1965191306105,90,270,67
pt_000272,39.95493501170713,-75.20242845241026,180,0,68
pt_000273,39.954878548363865,-75.20235919979743,270,90,68
pt_000274,39.954825252587824,-75.20243256806036,0,180,68
pt_000275,39.95488171588688,-75.20250182067984,90,270,68
pt_000276,39.95472791305225,-75.19446785523564,180,0,69
pt_000277,39.954671444913096,-75.19439860945157,270,90,69
pt_000278,39.95461815423414,-75.19447198373668,0,180,69
pt_000279,39.95467462232907,-75.1945412295274,90,270,69
pt_000280,39.9546460911158,-75.20009945054015,180,0,70
pt_000281,39.954589626369376,-75.20003020015791,270,90,70
pt_000282,39.95453633208394,-75.20010356993616,0,180,70
pt_000283,39.954592796786166,-75.20017282032507,90,270,70
pt_000284,39.95439364322066,-75.19177929850045,180,0,71
pt_000285,39.95433717346186,-75.19171005529226,270,90,71
pt_000286,39.954283884503795,-75.19178343132558,0,180,71
pt_000287,39.954340354218374,-75.19185267454043,90,270,71
pt_000288,39.954443484706296,-75.19846957617587,180,0,72
pt_000289,39.95438701897791,-75.1984003273551,270,90,72
pt_000290,39.95433372573566,-75.1984736981933,0,180,72
pt_000291,39.954390191419826,-75.19854294702074,90,270,72
pt_000292,39.954213465819514,-75.1965999524284,180,0,73
pt_000293,39.9541569989648,-75.19653070539633,270,90,73
pt_000294,39.95410370691919,-75.19660407745297,0,180,73
pt_000295,39.954160173729726,-75.19667332449168,90,270,73
pt_000296,39.95417665780343,-75.20259019676621,180,0,74
pt_000297,39.95412019455758,-75.20252094479213,270,90,74
pt_000298,39.95406689867603,-75.20259431210901,0,180,74
pt_000299,39.9541233618777,-75.20266356408978,90,270,74
pt_000300,39.95396646738446,-75.1946239075419,180,0,75
pt_000301,39.953909999339295,-75.19455466240434,270,90,75
pt_000302,39.95385670855846,-75.1946280357445,0,180,75
pt_000303,39.95391317655944,-75.19469728088872,90,270,75
pt_000304,39.95388468011829,-75.20026070868933,180,0,76
pt_000305,39.95382821546899,-75.20019145894932,270,90,76
pt_000306,39.95377492107834,-75.2002648277786,0,180,76
pt_000307,39.95383138568346,-75.20033407752527,90,270,76
pt_000308,39.953688529592604,-75.19864894717497,180,0,77
pt_000309,39.95363206397226,-75.19857969897475,270,90,77
pt_000310,39.95357877061323,-75.19865306885674,0,180,77
pt_000311,39.95363523618934,-75.19872231706363,90,270,77
pt_000312,39.95345169380858,-75.19676314623256,180,0,78
pt_000313,39.95339522705212,-75.19669389984142,270,90,78
pt_000314,39.953341934900095,-75.19676727094716,0,180,78
pt_000315,39.95339840161233,-75.19683651734495,90,270,78
pt_000316,39.95334431661979,-75.20533611928066,180,0,79
pt_000317,39.95328785502829,-75.20526686587263,270,90,79
pt_000318,39.95323455738637,-75.20534023013597,0,180,79
pt_000319,39.953291018933655,-75.20540948355064,90,270,79
pt_000320,39.95303419211062,-75.20282775306423,180,0,80
pt_000321,39.952977729007856,-75.20275850205742,270,90,80
