threshold,precision,recall,f1,iou,dice
0.05,0.8313121162953384,0.9868798306418998,0.902440599629817,0.8222249199175429,0.9024406492638122
0.1,0.8740281723186545,0.9805007040915358,0.9242079786891702,0.8590954878169612,0.9242080285244004
0.15000000000000002,0.890393368205534,0.9757647713534375,0.9311262709929857,0.8711284963647734,0.9311263208883847
0.2,0.9007021351707484,0.9713446928035095,0.9346904991763392,0.8773887702958758,0.9346905491051803
0.25,0.9083737092649602,0.9672132072171774,0.9368704741172891,0.8812384053663022,0.9368705240681212
0.3,0.9145684103414681,0.9631888864446887,0.938249137233575,0.8836811574703377,0.9382491872000932
0.35000000000000003,0.9196198105180362,0.9591871266856407,0.9389867785537398,0.8849907369501249,0.9389868285316044
0.4,0.9242028546503437,0.9550857224505628,0.939390485219425,0.8857082332264369,0.939390535205963
0.45,0.9281629394436304,0.9508028900657325,0.9393464686242058,0.8856299772779234,0.9393465186169875
0.5,0.931869283368932,0.9463311091933361,0.9390444694758638,0.8850932359635335,0.9390445194729405
0.55,0.9352961941244045,0.9414823713880344,0.9383790374173042,0.8839116451968564,0.9383790874168022
0.6000000000000001,0.9384992366123558,0.9360978095135155,0.9372969349052273,0.8819933430052062,0.9372969849051864
0.6500000000000001,0.9415311277138227,0.9298277278614482,0.9356427815035055,0.8790684736229976,0.9356428315015914
0.7000000000000001,0.9443413657746488,0.9229268778752675,0.9335112773981307,0.8753129323993915,0.9335113273915963
0.7500000000000001,0.9472796961714907,0.9149017373859575,0.9308091871817523,0.8705735866068127,0.9308092371666786
0.8,0.9501994942065787,0.9048949878827708,0.9269939852100368,0.8639225368481401,0.9269940351802578
0.8500000000000001,0.9534148516520964,0.8924572891813463,0.9219294977711757,0.8551663258779417,0.9219295477166896
0.9000000000000001,0.9572538313593717,0.8744677010890508,0.9139899234018424,0.841603623197508,0.9139899732997515
0.9500000000000001,0.9635524210199253,0.8422449336423401,0.8988241098774006,0.8162403557342838,0.8988241596518075
