epoch,train_loss,val_loss,val_dice
1,0.37648821625556184,0.2641907568488802,0.3477722406387329
2,0.20096760956288115,0.15487070509365627,0.7268641591072083
3,0.13192045070219552,0.11306098018373761,0.8104562163352966
4,0.09327402531781204,0.08120668147291456,0.8186191916465759
5,0.07141227469099243,0.06449541822075844,0.8414614200592041
6,0.05552011902856242,0.05143059566617012,0.8638697862625122
7,0.04602878438636866,0.04476076002631869,0.8752730488777161
8,0.037041932852171465,0.040370125536407744,0.8765693306922913
9,0.03046114402744708,0.03449112874056612,0.8863050937652588
10,0.026197249246661367,0.03149214919124331,0.8885716795921326
11,0.023178455863393285,0.030384475418499538,0.8953489065170288
12,0.02010630836473581,0.027366266399621964,0.895965576171875
13,0.017779239817061795,0.026476277517420904,0.9015796184539795
14,0.017278029633312278,0.029177413987261907,0.8765981197357178
15,0.018054100286905836,0.026157657163483755,0.8859983682632446
16,0.014256434138596149,0.02191156893968582,0.8886242508888245
17,0.011899159316994696,0.018656921998730727,0.9185314774513245
18,0.010536223751240357,0.018332749072994505,0.9151644110679626
19,0.009613434088118317,0.017927774574075427,0.9174830913543701
20,0.00909170577984309,0.016656206867524555,0.9028962254524231
21,0.00833323590705602,0.01584547481366566,0.9016656279563904
22,0.007725259931658211,0.016548548452556135,0.9120808839797974
23,0.0071671135498247865,0.016767844943595785,0.8995689749717712
24,0.008759060427460929,0.027829844557813236,0.777368426322937
25,0.024526023064921132,0.0235601897750582,0.8627305626869202
