point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000101,39.95303710749371,-75.15633178731007,270,90,25
pt_000102,39.95298384119291,-75.15640518968794,0,180,25
pt_000103,39.95304033221505,-75.1564744021608,90,270,25
pt_000104,39.9531910268533,-75.16122640703321,180,0,26
pt_000105,39.95313453869266,-75.16115719045492,270,90,26
pt_000106,39.95308126930086,-75.16123058915397,0,180,26
pt_000107,39.95313775741729,-75.16129980573903,90,270,26
pt_000108,39.953308078117665,-75.16225097596741,180,0,27
pt_000109,39.95325159057401,-75.1621817584178,270,90,27
pt_000110,39.953198320526155,-75.16225515643983,0,180,27
pt_000111,39.9532548080256,-75.16232437399621,90,270,27
pt_000112,39.9529996109789,-75.15966214914167,180,0,28
pt_000113,39.95294312187628,-75.15959293405926,270,90,28
pt_000114,39.9528898534861,-75.1596663337782,0,180,28
pt_000115,39.9529463425445,-75.15973554886737,90,270,28
pt_000116,39.95297069768844,-75.16243994798069,180,0,29
pt_000117,39.9529142102586,-75.16237073061771,270,90,29
pt_000118,39.95286094008884,-75.16244412812699,0,180,29
pt_000119,39.95291742747449,-75.16251334549673,90,270,29
pt_000120,39.95281908890834,-75.15807800947486,180,0,30
pt_000121,39.95276259885183,-75.15800879589383,270,90,30
pt_000122,39.952709331476015,-75.15808219665999,0,180,30
pt_000123,39.95276582148833,-75.15815141024778,90,270,30
pt_000124,39.95282740687547,-75.16130889381725,180,0,31
pt_000125,39.9527709187645,-75.16123967754088,270,90,31
pt_000126,39.95271764931895,-75.16131307578233,0,180,31
pt_000127,39.9527741373857,-75.16138229206547,90,270,31
pt_000128,39.95262923223215,-75.15650289369083,180,0,32
pt_000129,39.95257274122718,-75.15643368161317,270,90,32
pt_000130,39.95251947485994,-75.15650708340937,0,180,32
pt_000131,39.95257596582072,-75.15657629549378,90,270,32
pt_000132,39.95242816675067,-75.15493221749878,180,0,33
pt_000133,39.952371674799906,-75.15486300693226,270,90,33
pt_000134,39.952318409438426,-75.15493640974285,0,180,33
pt_000135,39.95237490134498,-75.15500562031613,90,270,33
pt_000136,39.95231025452897,-75.16260662142687,180,0,34
pt_000137,39.95225376719947,-75.16253740459831,270,90,34
