approach_id,intersection_id,crossing_width_ft,width_iqr_ft,valid_samples
APP_00144,INT_0077,38.0,10.0,5
APP_00145,INT_0077,35.0,9.0,5
APP_00146,INT_0078,30.0,7.0,5
APP_00147,INT_0078,11.0,19.0,5
APP_00148,INT_0079,16.0,2.0,5
APP_00149,INT_0079,36.0,6.0,5
APP_00150,INT_0080,24.5,12.5,4
APP_00151,INT_0080,75.0,10.0,5
APP_00152,INT_0081,37.0,9.0,5
APP_00153,INT_0081,19.0,10.0,5
APP_00154,INT_0082,31.0,2.0,5
APP_00155,INT_0082,11.0,16.0,5
APP_00156,INT_0083,32.0,17.0,5
APP_00157,INT_0083,17.0,10.0,5
APP_00158,INT_0084,52.0,10.0,5
APP_00159,INT_0084,19.0,7.0,5
APP_00160,INT_0085,42.0,0.0,5
APP_00161,INT_0085,32.0,17.0,5
APP_00162,INT_0089,14.0,1.0,5
APP_00163,INT_0089,42.0,1.0,5
APP_00164,INT_0089,23.0,12.0,5
APP_00165,INT_0089,12.0,0.0,5
APP_00166,INT_0090,16.0,0.0,5
APP_00167,INT_0090,15.0,4.0,5
APP_00168,INT_0091,23.0,1.0,5
APP_00169,INT_0091,24.0,0.0,5
APP_00170,INT_0092,1.0,1.0,5
APP_00171,INT_0092,1.0,3.0,5
APP_00172,INT_0096,27.0,15.0,5
APP_00173,INT_0096,27.0,21.0,5
APP_00174,INT_0097,45.0,6.0,5
APP_00175,INT_0097,28.0,4.0,5
APP_00176,INT_0098,19.0,17.0,5
APP_00177,INT_0098,19.0,44.0,5
APP_00178,INT_0099,28.0,26.0,5
APP_00179,INT_0099,33.0,23.0,5
APP_00180,INT_0100,24.0,8.0,5
APP_00181,INT_0100,18.0,1.0,5
APP_00182,INT_0101,34.0,28.0,5
APP_00183,INT_0103,47.0,12.0,5
APP_00184,INT_0104,34.0,29.0,5
APP_00185,INT_0104,25.0,15.0,5
APP_00186,INT_0105,74.0,27.0,5
APP_00187,INT_0105,45.0,25.0,5
APP_00188,INT_0106,8.0,1.0,5
APP_00189,INT_0106,15.0,8.0,5
APP_00190,INT_0107,36.0,14.0,5
APP_00191,INT_0107,42.0,7.0,5
APP_00192,INT_0108,31.0,16.0,5
APP_00193,INT_0108,57.0,20.0,5
APP_00194,INT_0108,16.0,5.0,5
APP_00195,INT_0110,29.0,14.0,5
APP_00196,INT_0110,34.0,5.0,5
APP_00197,INT_0110,15.0,19.0,5
APP_00198,INT_0111,21.0,0.0,5
APP_00199,INT_0111,30.0,0.0,5
APP_00200,INT_0111,43.0,6.0,5
APP_00201,INT_0113,66.0,2.0,5
APP_00202,INT_0113,66.0,1.0,5
APP_00203,INT_0114,26.0,7.0,5
APP_00204,INT_0114,46.0,4.0,5
APP_00205,INT_0115,26.0,14.0,5
APP_00206,INT_0115,30.0,2.0,5
APP_00207,INT_0116,35.0,14.0,5
APP_00208,INT_0117,52.0,12.0,5
APP_00209,INT_0117,34.0,3.0,5
APP_00210,INT_0117,28.0,6.0,5
APP_00211,INT_0118,20.0,9.0,5
APP_00212,INT_0118,52.0,4.0,5
APP_00213,INT_0119,47.0,9.0,5
APP_00214,INT_0119,18.0,5.0,5
APP_00215,INT_0120,28.0,21.0,5
APP_00216,INT_0120,36.0,18.0,5
APP_00217,INT_0121,35.0,8.0,5
APP_00218,INT_0121,46.0,13.0,5
APP_00219,INT_0122,40.0,6.0,5
APP_00220,INT_0122,47.0,1.0,5
APP_00221,INT_0123,40.0,5.0,5
APP_00222,INT_0124,25.0,4.0,5
APP_00223,INT_0124,54.0,1.0,5
APP_00224,INT_0125,41.0,8.0,5
APP_00225,INT_0126,15.0,12.0,5
APP_00226,INT_0126,45.0,7.0,5
APP_00227,INT_0127,25.0,10.0,5
APP_00228,INT_0127,31.0,12.0,5
APP_00229,INT_0128,28.0,4.0,5
APP_00230,INT_0128,33.0,13.0,5
APP_00231,INT_0129,28.0,9.0,5
APP_00232,INT_0129,23.5,4.5,2
APP_00233,INT_0130,22.0,3.0,5
APP_00234,INT_0130,46.0,5.0,5
APP_00235,INT_0131,44.0,7.0,5
APP_00236,INT_0131,23.0,7.0,5
APP_00237,INT_0132,31.0,14.0,5
APP_00238,INT_0133,29.0,2.0,5
APP_00239,INT_0133,52.0,4.0,5
APP_00240,INT_0137,23.0,4.0,5
APP_00241,INT_0137,56.0,2.0,5
APP_00242,INT_0138,30.0,37.0,5
APP_00243,INT_0138,17.0,10.0,5
APP_00244,INT_0138,31.0,14.0,5
APP_00245,INT_0139,39.0,29.0,5
APP_00246,INT_0139,27.0,4.0,5
APP_00247,INT_0143,48.0,16.0,5
APP_00248,INT_0143,32.0,11.0,5
APP_00249,INT_0144,18.0,2.0,5
APP_00250,INT_0144,20.0,3.0,5
APP_00251,INT_0145,25.0,5.0,5
APP_00252,INT_0147,17.0,1.0,5
APP_00253,INT_0147,9.0,10.0,5
APP_00254,INT_0149,28.0,15.0,5
APP_00255,INT_0150,26.0,18.0,5
APP_00256,INT_0150,44.0,4.0,5
APP_00257,INT_0151,32.0,11.0,5
APP_00258,INT_0151,48.0,23.0,5
APP_00259,INT_0152,25.0,2.0,5
APP_00260,INT_0152,36.0,21.0,5
APP_00261,INT_0153,27.0,0.0,1
APP_00262,INT_0153,15.0,12.0,5
APP_00263,INT_0154,28.0,7.0,5
APP_00264,INT_0155,29.0,1.0,5
APP_00265,INT_0155,31.0,8.0,5
APP_00266,INT_0156,40.5,17.25,4
APP_00267,INT_0158,44.0,2.0,5
APP_00268,INT_0158,25.0,3.0,5
APP_00269,INT_0159,18.0,2.0,5
APP_00270,INT_0159,28.0,1.0,5
APP_00271,INT_0160,53.0,12.0,5
APP_00272,INT_0161,42.0,2.0,5
APP_00273,INT_0161,11.0,3.0,5
APP_00274,INT_0161,50.0,8.0,5
APP_00275,INT_0162,58.0,2.0,5
APP_00276,INT_0166,35.0,5.0,5
APP_00277,INT_0167,38.0,9.0,5
APP_00278,INT_0168,26.0,11.0,5
APP_00279,INT_0168,33.0,10.0,5
APP_00280,INT_0169,60.0,4.25,4
APP_00281,INT_0170,51.0,26.0,5
APP_00282,INT_0171,50.0,2.0,5
APP_00283,INT_0171,42.0,4.0,5
APP_00284,INT_0172,37.0,16.0,5
APP_00285,INT_0172,25.0,1.0,5
APP_00286,INT_0173,13.0,6.0,5
APP_00287,INT_0173,36.0,2.0,5
APP_00288,INT_0174,35.0,18.0,5
APP_00289,INT_0174,36.0,2.0,5
APP_00290,INT_0175,25.0,4.0,5
APP_00291,INT_0175,30.0,6.0,5
APP_00292,INT_0175,46.0,17.0,5
APP_00293,INT_0176,44.0,19.0,5
APP_00294,INT_0176,43.0,5.0,5
APP_00295,INT_0177,37.0,12.0,5
APP_00296,INT_0177,39.0,6.0,5
APP_00297,INT_0178,22.0,9.0,5
APP_00299,INT_0179,30.0,12.0,5
APP_00301,INT_0180,25.0,20.0,5
APP_00302,INT_0180,21.0,5.0,5
APP_00303,INT_0181,24.0,15.0,5
APP_00304,INT_0181,14.0,4.0,5
APP_00305,INT_0182,45.0,7.0,5
APP_00306,INT_0182,38.0,10.0,5
APP_00307,INT_0183,51.0,0.0,1
APP_00308,INT_0183,21.0,18.0,5
APP_00309,INT_0185,50.0,8.0,5
APP_00310,INT_0185,26.0,7.0,5
APP_00311,INT_0185,60.0,14.0,5
APP_00312,INT_0186,62.0,0.0,5
APP_00313,INT_0186,60.0,0.0,5
APP_00314,INT_0186,63.0,17.0,5
APP_00315,INT_0187,22.0,8.0,5
APP_00316,INT_0187,51.0,11.0,5
APP_00317,INT_0187,34.0,22.0,5
APP_00318,INT_0188,54.0,8.0,5
APP_00319,INT_0188,46.0,15.0,5
APP_00320,INT_0189,24.0,8.0,5
APP_00321,INT_0189,46.0,13.0,5
APP_00322,INT_0189,17.0,20.0,5
APP_00323,INT_0191,51.5,12.5,2
