point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000112,39.97013364010085,-75.14406519514813,180,0,28
pt_000113,39.97007714161003,-75.14399597557723,270,90,28
pt_000114,39.970023883258044,-75.14406940604873,0,180,28
pt_000115,39.970080381704676,-75.14413862562644,90,270,28
pt_000116,39.97004541066662,-75.1397655711379,180,0,29
pt_000117,39.969988909587244,-75.13969635523415,270,90,29
pt_000118,39.96993565398998,-75.13976978898219,0,180,29
pt_000119,39.969992155025174,-75.13983900489275,90,270,29
pt_000120,39.97007458084977,-75.14359004776234,180,0,30
pt_000121,39.970018082072876,-75.14352082864694,270,90,30
pt_000122,39.969964824025176,-75.1435942594272,0,180,30
pt_000123,39.970021322757866,-75.14366347854941,90,270,30
pt_000124,39.97001692857388,-75.14309540707654,180,0,31
pt_000125,39.96996042949915,-75.14302618843143,270,90,31
pt_000126,39.96990717176823,-75.1430996195373,0,180,31
pt_000127,39.96996367079874,-75.14316883818923,90,270,31
pt_000128,39.96989011046521,-75.14070767253757,180,0,32
pt_000129,39.969833609952936,-75.14063845600829,270,90,32
pt_000130,39.96978035375156,-75.14071188884958,0,180,32
pt_000131,39.96983685421965,-75.14078110538566,90,270,32
pt_000132,39.969928214276806,-75.14237074652837,180,0,33
pt_000133,39.96987171476577,-75.14230152857658,270,90,33
pt_000134,39.969818457498896,-75.14237496015484,0,180,33
pt_000135,39.96987495696573,-75.14244417811342,90,270,33
pt_000136,39.96982102671527,-75.14151810331764,180,0,34
pt_000137,39.9697645266909,-75.1414488861845,270,90,34
pt_000138,39.96971126997004,-75.14152231831554,0,180,34
pt_000139,39.96976776995023,-75.14159153545548,90,270,34
pt_000140,39.96957792308299,-75.13957917084211,180,0,35
pt_000141,39.969521421891265,-75.13950995556992,270,90,35
pt_000142,39.96946816641209,-75.13958338895861,0,180,35
pt_000143,39.96952466755966,-75.13965260423763,90,270,35
pt_000144,39.969470371718685,-75.13899845585502,180,0,36
pt_000145,39.96941387017731,-75.13892924117562,270,90,36
pt_000146,39.96936061506994,-75.13900267490342,0,180,36
pt_000147,39.96941711656713,-75.13907188958964,90,270,36
pt_000148,39.96937410634409,-75.13849821075583,180,0,37
pt_000149,39.9693176045015,-75.13842899659076,270,90,37
pt_000150,39.96926434971443,-75.13850243060675,0,180,37
pt_000151,39.96932085151281,-75.13857164477864,90,270,37
pt_000152,39.9692807647244,-75.13800520203475,180,0,38
pt_000153,39.969224262584994,-75.13793598837499,270,90,38
pt_000154,39.96917100811356,-75.13800942267669,0,180,38
pt_000155,39.96922751020876,-75.13807863634325,90,270,38
pt_000156,39.969232425574276,-75.13776416574487,180,0,39
pt_000157,39.96917592328974,-75.13769495233494,270,90,39
pt_000158,39.96912266897262,-75.13776838677337,0,180,39
pt_000159,39.969179171212936,-75.13783760019012,90,270,39
pt_000160,39.96913797920796,-75.13725340489789,180,0,40
pt_000161,39.969081476615926,-75.13718419200917,270,90,40
pt_000162,39.969028222625816,-75.137257626746,0,180,40
pt_000163,39.96908472517367,-75.13732683964155,90,270,40
pt_000164,39.96905261759145,-75.13679149902912,180,0,41
pt_000165,39.96899611472133,-75.13672228661171,270,90,41
pt_000166,39.96894286102695,-75.13679572161847,0,180,41
pt_000167,39.968999363852895,-75.13686493404269,90,270,41
pt_000168,39.968945421130286,-75.13622419095728,180,0,42
pt_000169,39.968888917918605,-75.13615497912113,270,90,42
pt_000170,39.968835664587466,-75.13622841445684,0,180,42
pt_000171,39.968892167754944,-75.1362976262998,90,270,42
pt_000172,39.969714977070126,-75.14066590875144,180,0,43
pt_000173,39.96965847653267,-75.14059669243541,270,90,43
pt_000174,39.96960522035758,-75.1406701251201,0,180,43
pt_000175,39.96966172085085,-75.14073934144292,90,270,43
pt_000176,39.972364041037366,-75.13785439816152,180,0,44
pt_000177,39.97230753880818,-75.13778518148463,270,90,44
pt_000178,39.97225428444205,-75.13785861923881,0,180,44
pt_000179,39.972310786627034,-75.13792783592254,90,270,44
pt_000180,39.97146779521298,-75.14114696661446,180,0,45
pt_000181,39.97141129496569,-75.14107774811158,270,90,45
pt_000182,39.97135803848727,-75.1411511823144,0,180,45
pt_000183,39.97141453869038,-75.1412204008241,90,270,45
pt_000184,39.97257516325122,-75.14354093967086,180,0,46
pt_000185,39.97251866444562,-75.1434717180474,270,90,46
pt_000186,39.972465406436434,-75.1435451515702,0,180,46
pt_000187,39.97252190519785,-75.14361437320046,90,270,46
pt_000188,39.97279579738401,-75.1453236403691,180,0,47
pt_000189,39.97273929965176,-75.14525441703753,270,90,47
pt_000190,39.97268604050099,-75.14532784940074,0,180,47
pt_000191,39.97274253818904,-75.1453970727391,90,270,47
pt_000192,39.97289768697004,-75.14608530437864,180,0,48
pt_000193,39.9728411896964,-75.14601608030951,270,90,48
pt_000194,39.97278793005791,-75.14608951218551,0,180,48
pt_000195,39.97284442728734,-75.14615873626146,90,270,48
pt_000196,39.972421240000315,-75.1421532851442,180,0,49
pt_000197,39.97236474035921,-75.14208406483219,270,90,49
pt_000198,39.9723114832387,-75.14215749927682,0,180,49
pt_000199,39.97236798283561,-75.14222671959566,90,270,49
pt_000200,39.97265692327947,-75.14041027598708,180,0,50
pt_000201,39.97260042258911,-75.14034105688505,270,90,50
